Uhrzeit;Schritte;Aktivitätstyp;Intensität;Präzise Intensität
19.11.2015 20:00;;Ruhen;0;8
19.11.2015 23:00;;Ruhen;0;8
20.11.2015 07:00;;Ruhen;0;8
20.11.2015 07:15;;Ruhen;0;8
20.11.2015 07:30;;Ruhen;0;8
20.11.2015 07:45;;Ruhen;0;8
20.11.2015 08:00;;Ruhen;0;8
20.11.2015 10:20;;Ruhen;20;72
20.11.2015 10:21;;Ruhen;0;8
20.11.2015 10:30;;Ruhen;0;8
20.11.2015 13:02;;Ruhen;0;8
20.11.2015 15:31;;Ruhen;0;8
20.11.2015 16:10;;Ruhen;0;8
20.11.2015 17:11;;Ruhen;0;8
20.11.2015 20:00;;Ruhen;0;8
20.11.2015 23:00;;Ruhen;0;8
21.11.2015 07:00;;Ruhen;0;8
21.11.2015 07:15;;Ruhen;0;8
21.11.2015 07:30;;Ruhen;0;8
21.11.2015 07:45;;Ruhen;0;8
21.11.2015 08:00;;Ruhen;0;8
21.11.2015 20:00;;Ruhen;0;8
21.11.2015 23:00;;Ruhen;0;8
22.11.2015 07:00;;Ruhen;0;8
22.11.2015 07:15;;Ruhen;0;8
22.11.2015 07:30;;Ruhen;0;8
22.11.2015 07:45;;Ruhen;0;8
22.11.2015 08:00;;Ruhen;0;8
22.11.2015 20:00;;Ruhen;0;8
22.11.2015 23:00;;Ruhen;0;8
23.11.2015 07:00;;Ruhen;0;8
23.11.2015 07:15;;Ruhen;0;8
23.11.2015 07:30;;Ruhen;0;8
23.11.2015 07:45;;Ruhen;0;8
23.11.2015 08:00;;Ruhen;0;8
23.11.2015 20:00;;Ruhen;0;8
23.11.2015 23:00;;Ruhen;0;8
24.11.2015 07:00;;Ruhen;0;8
24.11.2015 07:15;;Ruhen;0;8
24.11.2015 07:30;;Ruhen;0;8
24.11.2015 07:45;;Ruhen;0;8
24.11.2015 08:00;;Ruhen;0;8
24.11.2015 20:00;;Ruhen;0;8
24.11.2015 23:00;;Ruhen;0;8
25.11.2015 07:00;;Ruhen;0;8
25.11.2015 07:15;;Ruhen;0;8
25.11.2015 07:30;;Ruhen;0;8
25.11.2015 07:45;;Ruhen;0;8
25.11.2015 08:00;;Ruhen;0;8
25.11.2015 20:00;;Ruhen;0;8
25.11.2015 23:00;;Ruhen;0;8
26.11.2015 07:00;;Ruhen;0;8
26.11.2015 07:15;;Ruhen;0;8
26.11.2015 07:30;;Ruhen;0;8
26.11.2015 07:45;;Ruhen;0;8
26.11.2015 08:00;;Ruhen;0;8
26.11.2015 14:47;;Ruhen;10;40
26.11.2015 14:48;;Ruhen;0;8
26.11.2015 14:57;;Ruhen;0;8
26.11.2015 15:18;;Ruhen;0;8
26.11.2015 15:49;;Ruhen;0;8
26.11.2015 20:00;;Ruhen;0;8
26.11.2015 23:00;;Ruhen;0;8
27.11.2015 07:00;;Ruhen;0;8
27.11.2015 07:15;;Ruhen;0;8
27.11.2015 07:30;;Ruhen;0;8
27.11.2015 07:45;;Ruhen;0;8
27.11.2015 08:00;;Ruhen;0;8
27.11.2015 20:00;;Ruhen;0;8
27.11.2015 23:00;;Ruhen;0;8
28.11.2015 07:00;;Ruhen;0;8
28.11.2015 07:15;;Ruhen;0;8
28.11.2015 07:30;;Ruhen;0;8
28.11.2015 07:45;;Ruhen;0;8
28.11.2015 08:00;;Ruhen;0;8
28.11.2015 18:40;;Ruhen;30;104
28.11.2015 18:41;;Ruhen;0;8
28.11.2015 18:50;;Ruhen;0;8
28.11.2015 20:00;;Ruhen;0;8
28.11.2015 23:00;;Ruhen;0;8
29.11.2015 07:00;;Ruhen;0;8
29.11.2015 07:15;;Ruhen;0;8
29.11.2015 07:30;;Ruhen;0;8
29.11.2015 07:45;;Ruhen;0;8
29.11.2015 08:00;;Ruhen;0;8
29.11.2015 14:04;;Ruhen;20;72
29.11.2015 14:05;;Ruhen;0;8
29.11.2015 14:14;;Ruhen;0;8
29.11.2015 14:37;;Ruhen;0;8
29.11.2015 20:00;;Ruhen;0;8
29.11.2015 23:00;;Ruhen;0;8
30.11.2015 07:00;;Ruhen;0;8
30.11.2015 07:15;;Ruhen;0;8
30.11.2015 07:30;;Ruhen;0;8
30.11.2015 07:45;;Ruhen;0;8
30.11.2015 08:00;;Ruhen;0;8
30.11.2015 15:23;;Ruhen;0;8
30.11.2015 20:00;;Ruhen;0;8
30.11.2015 23:00;;Ruhen;0;8
01.12.2015 07:00;;Ruhen;0;8
01.12.2015 07:15;;Ruhen;0;8
01.12.2015 07:30;;Ruhen;0;8
01.12.2015 07:45;;Ruhen;0;8
01.12.2015 08:00;;Ruhen;0;8
01.12.2015 20:00;;Ruhen;0;8
01.12.2015 22:32;;Ruhen;0;8
01.12.2015 23:00;;Ruhen;0;8
02.12.2015 07:00;;Ruhen;0;8
02.12.2015 07:15;;Ruhen;0;8
02.12.2015 07:30;;Ruhen;0;8
02.12.2015 07:45;;Ruhen;0;8
02.12.2015 08:00;;Ruhen;0;8
02.12.2015 12:45;;Ruhen;0;8
02.12.2015 12:56;;Ruhen;30;104
02.12.2015 12:57;;Ruhen;0;8
02.12.2015 13:06;;Ruhen;0;8
02.12.2015 15:32;;Ruhen;0;8
02.12.2015 20:00;;Ruhen;0;8
02.12.2015 23:00;;Ruhen;0;8
03.12.2015 07:00;;Ruhen;0;8
03.12.2015 07:15;;Ruhen;0;8
03.12.2015 07:30;;Ruhen;0;8
03.12.2015 07:45;;Ruhen;0;8
03.12.2015 08:00;;Ruhen;0;8
03.12.2015 20:00;;Ruhen;0;8
03.12.2015 23:00;;Ruhen;0;8
04.12.2015 07:00;;Ruhen;0;8
04.12.2015 07:15;;Ruhen;0;8
04.12.2015 07:30;;Ruhen;0;8
04.12.2015 07:45;;Ruhen;0;8
04.12.2015 08:00;;Ruhen;0;8
04.12.2015 16:50;;Ruhen;0;8
04.12.2015 17:33;;Ruhen;0;8
04.12.2015 20:00;;Ruhen;0;8
04.12.2015 23:00;;Ruhen;0;8
05.12.2015 07:00;;Ruhen;0;8
05.12.2015 07:15;;Ruhen;0;8
05.12.2015 07:30;;Ruhen;0;8
05.12.2015 07:45;;Ruhen;0;8
05.12.2015 08:00;;Ruhen;0;8
05.12.2015 20:00;;Ruhen;0;8
05.12.2015 23:00;;Ruhen;0;8
06.12.2015 07:00;;Ruhen;0;8
06.12.2015 07:15;;Ruhen;0;8
06.12.2015 07:30;;Ruhen;0;8
06.12.2015 07:45;;Ruhen;0;8
06.12.2015 08:00;;Ruhen;0;8
06.12.2015 20:00;;Ruhen;0;8
06.12.2015 23:00;;Ruhen;0;8
07.12.2015 07:00;;Ruhen;0;8
07.12.2015 07:15;;Ruhen;0;8
07.12.2015 07:30;;Ruhen;0;8
07.12.2015 07:45;;Ruhen;0;8
07.12.2015 08:00;;Ruhen;0;8
07.12.2015 14:00;;Ruhen;0;8
07.12.2015 20:00;;Ruhen;0;8
07.12.2015 23:00;;Ruhen;0;8
08.12.2015 07:00;;Ruhen;0;8
08.12.2015 07:15;;Ruhen;0;8
08.12.2015 07:30;;Ruhen;0;8
08.12.2015 07:45;;Ruhen;0;8
08.12.2015 08:00;;Ruhen;0;8
08.12.2015 13:28;;Ruhen;0;8
08.12.2015 13:55;;Ruhen;20;72
08.12.2015 13:57;;Ruhen;0;8
08.12.2015 14:06;;Ruhen;0;8
08.12.2015 19:53;;Ruhen;0;8
08.12.2015 20:00;;Ruhen;0;8
08.12.2015 23:00;;Ruhen;0;8
09.12.2015 07:00;;Ruhen;0;8
09.12.2015 07:15;;Ruhen;0;8
09.12.2015 07:30;;Ruhen;0;8
09.12.2015 07:45;;Ruhen;0;8
09.12.2015 08:00;;Ruhen;0;8
09.12.2015 15:53;;Ruhen;0;8
09.12.2015 20:00;;Ruhen;0;8
09.12.2015 23:00;;Ruhen;0;8
10.12.2015 07:00;;Ruhen;0;8
10.12.2015 07:15;;Ruhen;0;8
10.12.2015 07:30;;Ruhen;0;8
10.12.2015 07:45;;Ruhen;0;8
10.12.2015 08:00;;Ruhen;0;8
10.12.2015 16:49;;Ruhen;0;8
10.12.2015 20:00;;Ruhen;0;8
10.12.2015 23:00;;Ruhen;0;8
11.12.2015 07:00;;Ruhen;0;8
11.12.2015 07:15;;Ruhen;0;8
11.12.2015 07:30;;Ruhen;0;8
11.12.2015 07:45;;Ruhen;0;8
11.12.2015 08:00;;Ruhen;0;8
11.12.2015 20:00;;Ruhen;0;8
11.12.2015 23:00;;Ruhen;0;8
12.12.2015 07:00;;Ruhen;0;8
12.12.2015 07:15;;Ruhen;0;8
12.12.2015 07:30;;Ruhen;0;8
12.12.2015 07:45;;Ruhen;0;8
12.12.2015 08:00;;Ruhen;0;8
12.12.2015 20:00;;Ruhen;0;8
12.12.2015 23:00;;Ruhen;0;8
13.12.2015 07:00;;Ruhen;0;8
13.12.2015 07:15;;Ruhen;0;8
13.12.2015 07:30;;Ruhen;0;8
13.12.2015 07:45;;Ruhen;0;8
13.12.2015 08:00;;Ruhen;0;8
13.12.2015 20:00;;Ruhen;0;8
13.12.2015 23:00;;Ruhen;0;8
14.12.2015 07:00;;Ruhen;0;8
14.12.2015 07:15;;Ruhen;0;8
14.12.2015 07:30;;Ruhen;0;8
14.12.2015 07:45;;Ruhen;0;8
14.12.2015 08:00;;Ruhen;0;8
14.12.2015 20:00;;Ruhen;0;8
14.12.2015 23:00;;Ruhen;0;8
15.12.2015 07:00;;Ruhen;0;8
15.12.2015 07:15;;Ruhen;0;8
15.12.2015 07:30;;Ruhen;0;8
15.12.2015 07:45;;Ruhen;0;8
15.12.2015 08:00;;Ruhen;0;8
15.12.2015 20:00;;Ruhen;0;8
15.12.2015 23:00;;Ruhen;0;8
16.12.2015 07:00;;Ruhen;0;8
16.12.2015 07:15;;Ruhen;0;8
16.12.2015 07:30;;Ruhen;0;8
16.12.2015 07:45;;Ruhen;0;8
16.12.2015 08:00;;Ruhen;0;8
16.12.2015 20:00;;Ruhen;0;8
16.12.2015 23:00;;Ruhen;0;8
17.12.2015 07:00;;Ruhen;0;8
17.12.2015 07:15;;Ruhen;0;8
17.12.2015 07:30;;Ruhen;0;8
17.12.2015 07:45;;Ruhen;0;8
17.12.2015 08:00;;Ruhen;0;8
17.12.2015 20:00;;Ruhen;0;8
17.12.2015 23:00;;Ruhen;0;8
18.12.2015 07:00;;Ruhen;0;8
18.12.2015 07:15;;Ruhen;0;8
18.12.2015 07:30;;Ruhen;0;8
18.12.2015 07:45;;Ruhen;0;8
18.12.2015 08:00;;Ruhen;0;8
18.12.2015 16:02;;Ruhen;40;136
18.12.2015 16:04;;Ruhen;0;8
18.12.2015 16:05;;Ruhen;50;168
18.12.2015 16:06;340;Gehen;30;102
18.12.2015 16:13;;Ruhen;70;232
18.12.2015 16:15;16;Gehen;30;102
18.12.2015 16:16;;Ruhen;70;232
18.12.2015 16:17;549;Gehen;30;102
18.12.2015 16:27;;Ruhen;70;232
18.12.2015 16:28;;Ruhen;0;8
18.12.2015 16:36;;Ruhen;0;8
18.12.2015 16:54;;Ruhen;20;72
18.12.2015 16:55;;Ruhen;0;8
18.12.2015 17:09;;Ruhen;20;72
18.12.2015 17:10;116;Gehen;20;70
18.12.2015 17:12;;Ruhen;70;232
18.12.2015 17:13;139;Gehen;50;166
18.12.2015 17:15;177;Gehen;30;102
18.12.2015 17:19;;Ruhen;70;232
18.12.2015 17:20;97;Gehen;50;166
18.12.2015 17:21;;Ruhen;60;200
18.12.2015 17:23;;Ruhen;0;8
18.12.2015 17:24;;Ruhen;40;136
18.12.2015 17:25;;Ruhen;0;8
18.12.2015 17:31;99;Gehen;20;70
18.12.2015 17:35;;Ruhen;60;200
18.12.2015 17:38;110;Gehen;20;70
18.12.2015 17:40;;Ruhen;70;232
18.12.2015 17:41;;Ruhen;0;8
18.12.2015 17:49;;Ruhen;0;8
18.12.2015 20:00;;Ruhen;0;8
18.12.2015 23:00;0;Gehen;;
18.12.2015 23:00;;Ruhen;0;8
19.12.2015 07:00;;Ruhen;0;8
19.12.2015 07:15;;Ruhen;0;8
19.12.2015 07:30;;Ruhen;0;8
19.12.2015 07:45;;Ruhen;0;8
19.12.2015 08:00;;Ruhen;0;8
19.12.2015 20:00;;Ruhen;0;8
19.12.2015 23:00;;Ruhen;0;8
20.12.2015 07:00;;Ruhen;0;8
20.12.2015 07:15;;Ruhen;0;8
20.12.2015 07:30;;Ruhen;0;8
20.12.2015 07:45;;Ruhen;0;8
20.12.2015 08:00;;Ruhen;0;8
20.12.2015 20:00;;Ruhen;0;8
20.12.2015 23:00;;Ruhen;0;8
21.12.2015 07:00;;Ruhen;0;8
21.12.2015 07:15;;Ruhen;0;8
21.12.2015 07:30;;Ruhen;0;8
21.12.2015 07:45;;Ruhen;0;8
21.12.2015 08:00;;Ruhen;0;8
21.12.2015 20:00;;Ruhen;0;8
21.12.2015 23:00;;Ruhen;0;8
22.12.2015 07:00;;Ruhen;0;8
22.12.2015 07:15;;Ruhen;0;8
22.12.2015 07:30;;Ruhen;0;8
22.12.2015 07:45;;Ruhen;0;8
22.12.2015 08:00;;Ruhen;0;8
22.12.2015 08:48;;Ruhen;20;72
22.12.2015 08:49;;Ruhen;0;8
22.12.2015 08:51;199;Gehen;30;102
22.12.2015 08:53;29;Gehen;30;102
22.12.2015 08:54;;Ruhen;40;136
22.12.2015 09:06;;Ruhen;0;8
22.12.2015 09:16;;Ruhen;0;8
22.12.2015 09:54;;Ruhen;0;8
22.12.2015 10:09;;Ruhen;0;8
22.12.2015 10:24;;Ruhen;0;8
22.12.2015 10:39;;Ruhen;0;8
22.12.2015 10:54;;Ruhen;0;8
22.12.2015 16:10;;Ruhen;20;72
22.12.2015 16:11;68;Gehen;30;102
22.12.2015 16:13;;Ruhen;30;104
22.12.2015 16:26;;Ruhen;0;8
22.12.2015 16:28;;Ruhen;20;72
22.12.2015 16:33;80;Gehen;20;70
22.12.2015 16:36;;Ruhen;60;200
22.12.2015 16:37;;Ruhen;0;8
22.12.2015 16:45;;Ruhen;0;8
22.12.2015 17:30;;Ruhen;0;8
22.12.2015 20:00;;Ruhen;0;8
22.12.2015 20:58;;Ruhen;0;8
22.12.2015 23:00;0;Gehen;;
22.12.2015 23:00;;Ruhen;0;8
22.12.2015 23:13;;Ruhen;0;8
23.12.2015 07:00;;Ruhen;0;8
23.12.2015 07:15;;Ruhen;0;8
23.12.2015 07:30;;Ruhen;0;8
23.12.2015 07:45;;Ruhen;0;8
23.12.2015 08:00;;Ruhen;0;8
23.12.2015 12:23;;Ruhen;0;8
23.12.2015 12:35;;Ruhen;0;8
23.12.2015 12:49;;Ruhen;0;8
23.12.2015 19:02;;Ruhen;0;8
23.12.2015 19:23;;Ruhen;0;8
23.12.2015 20:00;;Ruhen;0;8
23.12.2015 23:00;;Ruhen;0;8
24.12.2015 07:00;;Ruhen;0;8
24.12.2015 07:15;;Ruhen;0;8
24.12.2015 07:30;;Ruhen;0;8
24.12.2015 07:45;;Ruhen;0;8
24.12.2015 08:00;;Ruhen;0;8
24.12.2015 20:00;;Ruhen;0;8
24.12.2015 23:00;;Ruhen;0;8
25.12.2015 07:00;;Ruhen;0;8
25.12.2015 07:15;;Ruhen;0;8
25.12.2015 07:30;;Ruhen;0;8
25.12.2015 07:45;;Ruhen;0;8
25.12.2015 08:00;;Ruhen;0;8
25.12.2015 20:00;;Ruhen;0;8
25.12.2015 23:00;;Ruhen;0;8
26.12.2015 07:00;;Ruhen;0;8
26.12.2015 07:15;;Ruhen;0;8
26.12.2015 07:30;;Ruhen;0;8
26.12.2015 07:45;;Ruhen;0;8
26.12.2015 08:00;;Ruhen;0;8
26.12.2015 20:00;;Ruhen;0;8
26.12.2015 21:19;;Ruhen;10;40
26.12.2015 21:20;;Ruhen;0;8
26.12.2015 21:29;;Ruhen;0;8
26.12.2015 23:00;;Ruhen;0;8
27.12.2015 07:00;;Ruhen;0;8
27.12.2015 07:15;;Ruhen;0;8
27.12.2015 07:30;;Ruhen;0;8
27.12.2015 07:45;;Ruhen;0;8
27.12.2015 08:00;;Ruhen;0;8
27.12.2015 12:26;;Ruhen;30;104
27.12.2015 12:27;;Ruhen;0;8
27.12.2015 12:36;;Ruhen;0;8
27.12.2015 19:20;;Ruhen;0;8
27.12.2015 20:00;;Ruhen;0;8
27.12.2015 20:30;;Ruhen;0;8
27.12.2015 23:00;;Ruhen;0;8
28.12.2015 02:23;;Ruhen;0;8
28.12.2015 07:00;;Ruhen;0;8
28.12.2015 07:15;;Ruhen;0;8
28.12.2015 07:30;;Ruhen;0;8
28.12.2015 07:45;;Ruhen;0;8
28.12.2015 08:00;;Ruhen;0;8
28.12.2015 19:11;;Ruhen;0;8
28.12.2015 19:39;17;Gehen;20;70
28.12.2015 19:40;;Ruhen;50;168
28.12.2015 19:41;;Ruhen;0;8
28.12.2015 19:46;;Ruhen;40;136
28.12.2015 19:47;13;Gehen;10;38
28.12.2015 19:48;;Ruhen;40;136
28.12.2015 19:49;;Ruhen;0;8
28.12.2015 19:57;;Ruhen;0;8
28.12.2015 20:00;;Ruhen;0;8
28.12.2015 23:00;0;Gehen;;
28.12.2015 23:00;;Ruhen;0;8
29.12.2015 07:00;;Ruhen;0;8
29.12.2015 07:15;;Ruhen;0;8
29.12.2015 07:30;;Ruhen;0;8
29.12.2015 07:45;;Ruhen;0;8
29.12.2015 08:00;;Ruhen;0;8
29.12.2015 18:12;88;Gehen;30;102
29.12.2015 18:14;;Ruhen;60;200
29.12.2015 18:15;;Ruhen;0;8
29.12.2015 18:24;;Ruhen;0;8
29.12.2015 20:00;;Ruhen;0;8
29.12.2015 23:00;0;Gehen;;
29.12.2015 23:00;;Ruhen;0;8
30.12.2015 07:00;;Ruhen;0;8
30.12.2015 07:15;;Ruhen;0;8
30.12.2015 07:30;;Ruhen;0;8
30.12.2015 07:45;;Ruhen;0;8
30.12.2015 08:00;;Ruhen;0;8
30.12.2015 13:11;;Ruhen;20;72
30.12.2015 13:19;46;Gehen;20;70
30.12.2015 13:21;;Ruhen;40;136
30.12.2015 13:25;21;Gehen;30;102
